vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
openai,3,103,112
meta-llama,2,112,112
croviatrust,1,112,112
anthropic,1,112,112
mistralai,1,112,112
Crovia,1,112,112
timm,12,102,103
Qwen,9,102,103
nvidia,4,99,103
microsoft,3,102,103
openai-community,2,103,103
Salesforce,2,103,103
Falconsai,1,103,103
dima806,1,103,103
vikhyatk,1,103,103
cross-encoder,1,103,103
iitolstykh,1,103,103
evamxb,1,103,103
tencent,1,103,103
lucadiliello,1,103,103
cyankiwi,1,103,103
huggingface,1,103,103
google-research-datasets,1,103,103
m-a-p,1,103,103
KakologArchives,1,103,103
hf-doc-build,1,103,103
NTU-NLP-sg,1,103,103
deepmind,1,103,103
allenai,3,102,102
facebook,2,102,102
deepseek-ai,2,102,102
YiboZhang2001,2,102,102
Rowan,1,102,102
aps,1,102,102
mlfoundations,1,102,102
jat-project,1,102,102
stanfordnlp,1,102,102
hkunlp,1,102,102
InternRobotics,1,102,102
Alibaba-NLP,1,102,102
distilbert,1,102,102
wecover,1,102,102
ieasybooks-org,1,102,102
IPEC-COMMUNITY,1,102,102
M-FAC,1,102,102
HuggingFaceM4,1,102,102
E-MIMIC,1,102,102
h2oai,1,102,102
Respair,1,102,102
cybersectony,1,102,102
snunlp,1,102,102
cardiffnlp,1,102,102
amunchet,1,102,102
Zyphra,1,102,102
haesungoh,1,102,102
applied-ai-018,1,102,102
qandos0,1,102,102
genrobot2025,1,102,102
nateraw,1,102,102
qanastek,1,102,102
AquaV,1,102,102
vectara,1,102,102
mcp-course,1,102,102
google,1,99,99
madhurjindal,1,99,99
jitesh,1,99,99
