rank,target_id,silence_days,first_seen_iso,last_seen_iso
1,meta-llama/Llama-3.1-8B,120,2026-01-17T18:20:23Z,2026-04-17T00:01:11Z
2,openai/gpt-4-turbo,120,2026-01-17T18:20:23Z,2026-04-28T21:01:07Z
3,croviatrust/crovia-core-engine,120,2026-01-17T18:20:23Z,2026-01-25T12:00:01Z
4,anthropic/claude-3-opus,120,2026-01-17T18:20:23Z,2026-04-28T13:00:12Z
5,mistralai/Mistral-7B-v0.3,120,2026-01-17T18:20:23Z,2026-04-29T13:02:00Z
6,Crovia/global-ai-training-omissions,120,2026-01-17T18:20:23Z,2026-01-25T12:00:01Z
7,Falconsai/nsfw_image_detection,111,2026-01-26T18:04:13Z,2026-04-19T06:00:37Z
8,dima806/fairface_age_image_detection,111,2026-01-26T18:04:13Z,2026-02-10T16:00:01Z
9,vikhyatk/moondream2,111,2026-01-26T18:04:13Z,2026-04-29T07:00:12Z
10,cross-encoder/ms-marco-MiniLM-L6-v2,111,2026-01-26T18:04:13Z,2026-02-11T08:00:01Z
11,openai-community/gpt2,111,2026-01-26T18:04:13Z,2026-04-18T06:00:37Z
12,Qwen/Qwen3-4B,111,2026-01-26T18:04:13Z,2026-04-29T14:01:04Z
13,openai/gpt-oss-20b,111,2026-01-26T18:04:13Z,2026-04-18T18:00:39Z
14,timm/resnet50.a1_in1k,111,2026-01-26T18:04:13Z,2026-04-27T17:01:27Z
15,iitolstykh/mivolo_v2,111,2026-01-26T18:04:13Z,2026-04-27T18:00:17Z
16,Qwen/Qwen3-8B,111,2026-01-26T18:04:13Z,2026-04-27T03:00:24Z
17,timm/efficientnet_b2.ra_in1k,111,2026-01-26T20:15:44Z,2026-02-11T06:00:02Z
18,timm/mobilenetv3_large_100.miil_in21k_ft_in1k,111,2026-01-26T20:15:44Z,2026-02-08T04:00:01Z
19,evamxb/dev-author-em-clf,111,2026-01-26T20:15:44Z,2026-04-19T10:00:10Z
20,tencent/POINTS-Reader,111,2026-01-26T20:15:44Z,2026-04-28T12:00:47Z
21,microsoft/Multilingual-MiniLM-L12-H384,111,2026-01-26T20:15:44Z,2026-04-26T16:01:25Z
22,Qwen/Qwen3-Reranker-8B,111,2026-01-26T20:15:44Z,2026-04-28T15:00:37Z
23,lucadiliello/BLEURT-20,111,2026-01-26T20:15:44Z,2026-04-26T08:01:25Z
24,cyankiwi/GLM-4.5-Air-AWQ-4bit,111,2026-01-26T20:15:44Z,2026-04-28T05:01:31Z
25,timm/tf_mobilenetv3_large_minimal_100.in1k,111,2026-01-26T20:15:44Z,2026-02-10T08:00:02Z
26,timm/vit_base_patch16_224.augreg_in21k,111,2026-01-26T20:15:44Z,2026-02-06T22:00:00Z
27,huggingface/documentation-images,111,2026-01-26T21:19:38Z,2026-04-25T23:00:13Z
28,nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim,111,2026-01-26T21:19:38Z,2026-04-29T04:00:45Z
29,Salesforce/wikitext,111,2026-01-26T21:19:38Z,2026-04-27T23:00:38Z
30,Salesforce/GiftEvalPretrain,111,2026-01-26T21:19:38Z,2026-04-28T17:01:07Z
31,google-research-datasets/mbpp,111,2026-01-26T21:19:38Z,2026-04-28T10:00:44Z
32,m-a-p/FineFineWeb,111,2026-01-26T21:19:38Z,2026-04-28T23:00:54Z
33,KakologArchives/KakologArchives,111,2026-01-26T21:19:38Z,2026-04-27T06:00:21Z
34,hf-doc-build/doc-build,111,2026-01-26T21:19:38Z,2026-04-27T00:00:29Z
35,NTU-NLP-sg/xCodeEval,111,2026-01-26T21:19:38Z,2026-04-25T07:01:17Z
36,deepmind/code_contests,111,2026-01-26T21:19:38Z,2026-04-29T13:00:59Z
37,Rowan/hellaswag,110,2026-01-27T19:22:57Z,2026-04-28T18:00:49Z
38,Qwen/Qwen2.5-1.5B-Instruct,110,2026-01-27T19:22:57Z,2026-04-28T12:00:40Z
39,facebook/opt-125m,110,2026-01-27T18:04:05Z,2026-04-18T00:00:37Z
40,aps/super_glue,110,2026-01-27T18:04:05Z,2026-04-29T12:00:33Z
41,Qwen/Qwen2.5-Coder-1.5B,110,2026-01-27T18:04:05Z,2026-04-29T10:00:38Z
42,mlfoundations/dclm-baseline-1.0,110,2026-01-27T18:04:05Z,2026-04-29T08:00:58Z
43,jat-project/jat-dataset-tokenized,110,2026-01-27T18:04:05Z,2026-04-29T02:00:11Z
44,microsoft/beit-base-patch16-224-pt22k-ft22k,110,2026-01-27T18:04:05Z,2026-02-04T20:00:00Z
45,openai-community/gpt2-medium,110,2026-01-27T18:04:05Z,2026-04-18T21:01:00Z
46,stanfordnlp/imdb,110,2026-01-27T18:04:05Z,2026-04-29T00:01:15Z
47,hkunlp/instructor-large,110,2026-01-27T18:04:05Z,2026-04-27T07:01:28Z
48,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,110,2026-01-27T19:14:47Z,2026-04-29T13:00:12Z
49,InternRobotics/InternData-BridgeV2,110,2026-01-27T19:14:47Z,2026-04-26T22:00:16Z
50,Alibaba-NLP/gte-multilingual-reranker-base,110,2026-01-27T19:14:47Z,2026-04-28T11:00:02Z
51,distilbert/distilbert-base-uncased-finetuned-sst-2-english,110,2026-01-27T19:14:47Z,2026-02-10T07:00:00Z
52,wecover/OPUS_Tatoeba,110,2026-01-27T19:14:47Z,2026-04-27T14:01:32Z
53,ieasybooks-org/prophet-mosque-library,110,2026-01-27T19:14:47Z,2026-04-28T13:00:23Z
54,IPEC-COMMUNITY/droid_lerobot,110,2026-01-27T19:14:47Z,2026-04-29T02:01:19Z
55,M-FAC/bert-mini-finetuned-mnli,110,2026-01-27T19:14:47Z,2026-04-16T04:00:47Z
56,timm/maxvit_nano_rw_256.sw_in1k,110,2026-01-27T19:14:47Z,2026-02-07T02:00:01Z
57,HuggingFaceM4/FineVision,110,2026-01-27T19:14:47Z,2026-04-29T14:00:01Z
58,E-MIMIC/inclusively-classification,110,2026-01-27T19:22:57Z,2026-04-19T07:01:01Z
59,h2oai/h2ovl-mississippi-800m,110,2026-01-27T19:22:57Z,2026-04-29T15:00:12Z
60,allenai/openbookqa,110,2026-01-27T19:22:57Z,2026-04-29T15:00:56Z
61,Respair/BBC_Pargar,110,2026-01-27T19:22:57Z,2026-04-29T15:00:05Z
62,cybersectony/phishing-email-detection-distilbert_v2.4.1,110,2026-01-27T19:22:57Z,2026-02-11T10:00:02Z
63,timm/tf_efficientnetv2_m.in21k_ft_in1k,110,2026-01-27T19:22:57Z,2026-02-08T13:00:00Z
64,snunlp/KR-FinBert-SC,110,2026-01-27T19:22:57Z,2026-04-29T11:01:34Z
65,cardiffnlp/twitter-roberta-base-sentiment,110,2026-01-27T19:22:57Z,2026-02-12T04:57:40Z
66,amunchet/rorshark-vit-base,110,2026-01-27T19:22:57Z,2026-02-11T15:00:00Z
67,deepseek-ai/DeepSeek-V3,110,2026-01-27T19:22:57Z,2026-04-29T08:01:07Z
68,timm/efficientnet_b4.ra2_in1k,110,2026-01-27T19:22:57Z,2026-02-06T06:00:00Z
69,YiboZhang2001/TexVerse,110,2026-01-27T19:22:57Z,2026-04-29T08:00:21Z
70,Zyphra/dclm-dedup,110,2026-01-27T19:22:57Z,2026-04-29T13:00:18Z
71,haesungoh/MVAdapt-Dataset-Mini,110,2026-01-27T19:22:57Z,2026-04-27T19:00:21Z
72,allenai/dolma3_mix-6T,110,2026-01-27T19:22:57Z,2026-04-28T08:00:51Z
73,applied-ai-018/peacock-data-public-datasets-idc-warc-data,110,2026-01-27T19:22:57Z,2026-04-29T00:01:09Z
74,qandos0/SentimentArEng,110,2026-01-27T19:22:57Z,2026-04-18T08:00:12Z
75,microsoft/resnet-18,110,2026-01-27T19:22:57Z,2026-02-07T16:00:00Z
76,timm/tf_efficientnetv2_b0.in1k,110,2026-01-27T19:22:57Z,2026-02-05T09:00:00Z
77,genrobot2025/10Kh-RealOmin-OpenData,110,2026-01-27T19:22:57Z,2026-04-29T11:00:09Z
78,nateraw/bert-base-uncased-emotion,110,2026-01-27T19:22:57Z,2026-02-10T23:00:01Z
79,qanastek/51-languages-classifier,110,2026-01-27T19:22:57Z,2026-02-08T09:00:01Z
80,AquaV/genshin-voices-separated,110,2026-01-27T19:22:57Z,2026-04-24T21:00:42Z
81,vectara/hallucination_evaluation_model,110,2026-01-27T19:22:57Z,2026-04-26T14:00:53Z
82,mcp-course/images,110,2026-01-27T19:22:57Z,2026-04-28T14:00:26Z
83,meta-llama/Llama-3.2-1B-Instruct,107,2026-01-30T21:00:01Z,2026-04-19T04:00:35Z
84,Qwen/Qwen3-4B-Instruct-2507,107,2026-01-30T21:00:01Z,2026-04-27T23:00:11Z
85,facebook/bart-large-mnli,107,2026-01-30T18:14:21Z,2026-02-10T16:00:01Z
86,Qwen/Qwen2.5-Coder-0.5B-Instruct,107,2026-01-30T21:00:01Z,2026-04-27T15:00:35Z
87,timm/mobilenetv3_large_100.ra_in1k,107,2026-01-30T18:14:21Z,2026-02-10T13:00:00Z
88,madhurjindal/autonlp-Gibberish-Detector-492513457,107,2026-01-30T18:00:01Z,2026-02-08T12:00:00Z
89,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,107,2026-01-30T18:00:01Z,2026-02-11T18:00:00Z
90,allenai/objaverse,107,2026-01-30T18:00:01Z,2026-04-29T06:00:28Z
91,jitesh/emotion-english,107,2026-01-30T18:00:01Z,2026-04-27T17:00:41Z
92,nvidia/PhysicalAI-Autonomous-Vehicles,107,2026-01-30T18:00:01Z,2026-04-29T11:00:18Z
93,YiboZhang2001/TexVerse-1K,107,2026-01-30T18:00:01Z,2026-04-29T02:01:12Z
94,Qwen/Qwen3-30B-A3B,107,2026-01-30T18:00:01Z,2026-04-17T14:01:13Z
95,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,107,2026-01-30T18:00:01Z,2026-02-11T12:00:01Z
96,Qwen/Qwen2.5-Coder-32B-Instruct,107,2026-01-30T18:00:01Z,2026-04-29T08:00:14Z
97,rizvandwiki/gender-classification-2,107,2026-01-30T18:00:01Z,2026-04-27T03:01:41Z
98,lavita/medical-qa-shared-task-v1-toy,107,2026-01-30T18:00:01Z,2026-04-27T04:00:37Z
99,timm/wide_resnet50_2.racm_in1k,107,2026-01-30T18:00:01Z,2026-04-27T17:00:53Z
100,nateraw/vit-age-classifier,107,2026-01-30T18:00:01Z,2026-02-12T05:00:01Z
